key,scientificName,longitude,latitude,coordinateUncertaintyInMeters,eventDate,year,source,dataset,URL
OBI161690,Notholithocarpus densiflorus,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630597
OBI164453,Aphyllon tuberosum,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630569
OBI161621,Pinus muricata,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630570
OBI161646,Galium californicum ssp.,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630571
OBI161649,Navarretia hamata,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630573
OBI161650,Aira caryophyllea,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630574
OBI161622,Pickeringia montana var. montana,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630575
OBI161685,Vicia sativa ssp.,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630576
OBI166795,Heteromeles arbutifolia,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630577
OBI161651,Lonicera hispidula,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630578
OBI174290,Claytonia perfoliata ssp.,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630579
OBI161686,Madia sativa,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630580
OBI166775,Arctostaphylos purissima,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630581
OBI161652,Festuca octoflora,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630582
OBI161653,Chorizanthe diffusa,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630583
OBI161654,Zeltnera davyi,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630584
OBI161655,Lupinus concinnus,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630585
OBI161656,Stylocline gnaphaloides,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630586
OBI161657,Sanicula crassicaulis,-120.400783,34.529149,3989,2019-05-10,2019,CalFlora,Cal Poly,https://www.cch2.org/portal/collections/individual/index.php?occid=3630587
SJSUC16393,Cephaloziella divaricata,-120.40168,34.52927,3989,2019-05-10,2019,CalFlora,San Jose State,https://www.cch2.org/portal/collections/individual/index.php?occid=-4631091
SJSUC11936,Isothecium cristatum,-120.40168,34.52927,3989,2019-05-10,2019,CalFlora,San Jose State,https://www.cch2.org/portal/collections/individual/index.php?occid=-4631092
SJSUC11145,Fissidens curvatus,-120.40168,34.52927,3989,2019-05-10,2019,CalFlora,San Jose State,https://www.cch2.org/portal/collections/individual/index.php?occid=-4631093
SJSUC12343,Ceratodon purpureus,-120.40168,34.52927,3989,2019-05-10,2019,CalFlora,San Jose State,https://www.cch2.org/portal/collections/individual/index.php?occid=-4631094
SJSUC13501,Didymodon vinealis,-120.40168,34.52927,3989,2019-05-10,2019,CalFlora,San Jose State,https://www.cch2.org/portal/collections/individual/index.php?occid=-4631095
SJSUC16452,Frullania bolanderi,-120.40355,34.53009,3989,2019-05-10,2019,CalFlora,San Jose State,https://www.cch2.org/portal/collections/individual/index.php?occid=-4631096
SJSUC12384,Alsia californica,-120.40355,34.53009,3989,2019-05-10,2019,CalFlora,San Jose State,https://www.cch2.org/portal/collections/individual/index.php?occid=-4631097
NA,Aloina ambigua,-120.40355,34.53009,3989,2019-05-10,2019,CalFlora,San Jose State,https://www.cch2.org/portal/collections/individual/index.php?occid=-4631099
SJSUC19368,Funaria hygrometrica,-120.40168,34.52927,3989,2019-05-10,2019,CalFlora,San Jose State,https://www.cch2.org/portal/collections/individual/index.php?occid=-6607721
